WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
ÄRGER,ärger,N,-1.9,0.57,3.944444444,0.937595311,3.89,1.05,5,5,2,22.5,0,0,0,0,609274.6667,1
ÄRGERNIS,ärgernis,N,-1.9,0.57,3.789473684,1.134261746,2.44,1.42,8,8,3,3.333333333,0,0,0,0,356988.1667,1
ARGWOHN,argwohn,N,-1.3,0.674948558,3.444444444,0.704792186,2.666666667,1.58113883,7,6,2,1.5,0,0,0,0,36269,1
ARMEE,armee,N,-2.1,0.96790604,4,1,5.09090909,1.41114917,5,4,2,67.5,0,0,0,0,63086,2
ARMUT,armut,N,-1.95,1.14593102,3.333333333,0.795822426,3.77272727,1.79766563,5,5,2,13.66666667,1,3.5,0,0,46419.75,1
AROMA,aroma,N,1.4,0.843274043,2.157894737,1.167293065,3.111111111,1.166666667,5,5,3,2.333333333,0,0,0,0,65112.75,2
ARREST,arrest,N,-2,0.79471941,3.764705882,0.903424856,3.18181818,1.40191582,6,5,2,1.333333333,0,0,0,0,150241.6,2
ARROGANZ,arroganz,N,-1.9,0.737864787,3.611111111,0.916443823,3.888888889,1.364225462,8,7,3,1.833333333,1,2.17,1,2.17,68411.71429,3
ARSCH,arsch,N,-1.1,1.791957341,4,0.745355992,6.444444444,0.881917104,5,3,1,1.166666667,0,0,0,0,293199.75,1
ARSEN,arsen,N,-2,0.816496581,3.388888889,1.289728147,2.888888889,2.147349788,5,5,2,0.5,1,1,1,1,383185,2
ARSENAL,arsenal,N,-0.9,0.875595036,2.285714286,1.007117528,4.333333333,1.322875656,7,7,3,3.666666667,0,0,0,0,294523.1667,3
ARZT,arzt,N,0.088235294,1.564136843,2.777777778,1.308594017,6.576923077,0.702741883,4,4,1,180.8333333,0,0,0,0,45292.33333,1
ASCHE,asche,N,-1,1.21395396,2.857142857,1.31475147,5.09090909,1.54022543,5,3,2,5,3,4,0,0,317814.25,1
ASCHFAHL,aschfahl,A,-1.9,0.57,1.894736842,1.286456669,4.89,1.36,8,5,2,0.666666667,0,0,0,0,171179,1
ASCHGRAU,aschgrau,A,-1.4,0.7,1.631578947,1.065130473,4.78,1.79,8,5,2,0.666666667,0,0,0,0,203576,1
ASKESE,askese,N,-0.4,0.843274043,2.625,1.087811258,3,1.58113883,6,6,3,3.333333333,1,0,0,0,124700.4,2
ASKET,asket,N,-0.7,0.823272602,2,0.881917104,4.444444444,1.509230856,5,5,2,2.166666667,0,0,0,0,51511.5,2
ASOZIAL,asozial,A,-2.4,0.7,2.526315789,1.263523339,3.33,1.87,7,7,4,0.5,0,0,0,0,58877.66667,1
ASYL,asyl,N,-0.3,1.702938637,3.388888889,1.036900863,3,1.224744871,4,4,2,3.333333333,0,0,0,0,18140.66667,2
